ticker,CIK,company_name,sector,random_hash
FOX,0001754301,Fox Corporation (Class B),communication_services,0008d5d32c4bd338d2294f17ef292c1fbbcecb45e6f5194abaa839bab4d518c0
CMCSA,0001166691,Comcast,communication_services,00a1456d7a9b6f4ed8d36b4071a6c6287a66bcb65cb9aa32642cdef3e1e39393
LUMN,0000018926,Lumen Technologies,communication_services,0119bc2ac7820f78f2a9ce7afc1b29096a15bf049d192038e792b081717a0cc1
DIS,0001744489,Walt Disney Company (The),communication_services,0379deaa5b11106f933189ae22a08c6c8bf434ee5a59b378a38d7d063666e5ba
OMC,0000029989,Omnicom Group,communication_services,0a1fee9d0cc496dc542aa44a78d2d49da13a2a9c6a0f82b54635a6e98e49b5f9
DISH,0001001082,Dish Network,communication_services,216d018565812ec1120f3695850271e723107dadb96e06aa99a0dc9fa1b3934b
ATVI,0000718877,Activision Blizzard,communication_services,2a2af75439db42968cb9acc6337a2fc49b25148e1a9f311c55eb2c2ed7dd6582
TWTR,0001418091,Twitter Inc.,communication_services,336e414110e2f412d4230bbe525316f66ace03c20d12898088b6a0f443cb7d9a
LYV,0001335258,Live Nation Entertainment,communication_services,638e47200d6f146253d5805bbe47e0ef2ab6d21a3fae1b1e91f930259fa73bcc
CHTR,0001091667,Charter Communications,communication_services,6f47f3c0ff8a8ab157b9072a57c71c404696cb06ad2ac94dfea585e463d91041
NFLX,0001065280,Netflix,communication_services,8383d25dc8341f51f3c0c4ba0f873c27ae8dfb6d06645684105ae3984f572bc3
GOOG,0001652044,Alphabet Inc. (Class C),communication_services,89e8a0b13ca243c2141ec8c069ff720353eb65626c06a74b3f2959698a5ccea7
DISCA,0001437107,Discovery (Series A),communication_services,be292c8d6b42c6ae09954d5828d805bf04b4a38776087bd80e066f1c414d3794
IPG,0000051644,Interpublic Group of Companies (The),communication_services,d639a8f2c154ea2d5003b1d5eb79f8467e22ecb40da31a0b5e9445006743e35d
T,0000732717,AT&T,communication_services,e58f43571f7811dde43cf271b03c2bc9f892f7c287ac30b561e516e515a8392b
VIAC,0000813828,ViacomCBS,communication_services,f18d9e9e2066d9bea11a464e55ff2749896ff76e99a6c69f30dc56f7611ac812
FB,0001326801,Meta,communication_services,f59044c5770f1da048a28d4224529993130ae5e2cfb8d170df43d5f7d299746e
MGM,0000789570,MGM Resorts,consumer_discretionary,0397897410d7b087133fb38145ea4d3bc064e6dd0b930c04e4b735dc2e7cc3aa
NKE,0000320187,"Nike, Inc.",consumer_discretionary,067ef019a5a71cb14a395b2a91407a2872fdb6e1843465e5b24331b5550e1d46
ORLY,0000898173,O'Reilly Automotive,consumer_discretionary,0b7213027145a30a2bbdbcea91be2707474909975be5ac96baa0a1c394016ee8
MAR,0001048286,Marriott International,consumer_discretionary,0cf59b44bc3e01120c58ca1fd5aebc99e75db2d8caf564db684b3f4984080108
BWA,0000908255,BorgWarner,consumer_discretionary,0dfc2b8659a85f04c4f8a5cda089f2c86f18efc7372ede2fdda5ab88e4513bea
MCD,0000063908,McDonald's,consumer_discretionary,1024d3cdd7ddcdfa18e551a8ce1b6e0ede2f41cacd6c07fed8d2b959174a2ba2
APTV,0001521332,Aptiv,consumer_discretionary,13f8f771f677d801b912bd729b59c0b563c26c4b0547d3ee84a3165a94be284d
