sample_order,ticker,filing_position,accession,primary_document,candidate_passages
1,FOX,F1,0001564590-19-041135,fox-10q_20190930.htm,87
1,FOX,F2,0001564590-20-003497,fox-10q_20191231.htm,89
1,FOX,F3,0001564590-20-022088,fox-10q_20200331.htm,88
1,FOX,F4,0001564590-20-038975,fox-10k_20200630.htm,137
1,FOX,F5,0001564590-20-050013,fox-10q_20200930.htm,84
2,CMCSA,F1,0001166691-19-000020,cmcsa-9302019x10q.htm,83
2,CMCSA,F2,0001166691-20-000008,cmcsa-12312019x10k.htm,126
2,CMCSA,F3,0001166691-20-000017,cmcsa-3312020x10q.htm,88
2,CMCSA,F4,0001166691-20-000024,cmcsa-6302020x10q.htm,88
2,CMCSA,F5,0001166691-20-000032,cmcsa-20200930.htm,90
3,LUMN,F1,0000018926-19-000022,ctl2019093010q.htm,108
3,LUMN,F2,0000018926-20-000009,ctl2019123110k.htm,136
3,LUMN,F3,0000018926-20-000016,ctl2020033110q.htm,101
3,LUMN,F4,0000018926-20-000022,ctl-20200630.htm,101
3,LUMN,F5,0000018926-20-000028,ctl-20200930.htm,97
4,DIS,F1,0001744489-19-000225,fy2019q410k.htm,125
4,DIS,F2,0001744489-20-000046,dis-20191228.htm,103
4,DIS,F3,0001744489-20-000102,dis-20200328.htm,118
4,DIS,F4,0001744489-20-000151,dis-20200627.htm,120
4,DIS,F5,0001744489-20-000197,dis-20201003.htm,127
5,OMC,F1,0000029989-19-000019,a2019q310-q.htm,77
5,OMC,F2,0000029989-20-000005,omc-20191231.htm,87
5,OMC,F3,0000029989-20-000007,omc-20200331.htm,66
5,OMC,F4,0000029989-20-000010,omc-20200630.htm,73
5,OMC,F5,0000029989-20-000016,omc-20200930.htm,83
6,DISH,F1,0001558370-19-010263,dish-20190930x10q816bfb.htm,120
6,DISH,F2,0001558370-20-000945,dish-20191231x10kce7e53.htm,127
6,DISH,F3,0001558370-20-005524,dish-20200507x10q.htm,120
6,DISH,F4,0001558370-20-009801,dish-20200630x10q.htm,121
6,DISH,F5,0001558370-20-013008,dish-20200930x10q.htm,121
7,ATVI,F1,0000718877-19-000021,atvi-9302019x10xq.htm,90
7,ATVI,F2,0000718877-20-000003,atvi-12312019x10xk.htm,122
7,ATVI,F3,0001628280-20-006454,atvi-3312020x10xq.htm,90
7,ATVI,F4,0001628280-20-011664,atvi-20200630.htm,89
7,ATVI,F5,0001628280-20-015105,atvi-20200930.htm,89
8,TWTR,F1,0001418091-19-000008,twtr-20190930.htm,124
8,TWTR,F2,0001418091-20-000037,twtr-20191231.htm,126
8,TWTR,F3,0001418091-20-000089,twtr-20200331.htm,125
8,TWTR,F4,0001418091-20-000158,twtr-20200630.htm,126
8,TWTR,F5,0001418091-20-000202,twtr-20200930.htm,126
9,LYV,F1,0001335258-19-000141,lyv-20190930.htm,72
9,LYV,F2,0001335258-20-000028,lyv-20191231.htm,125
9,LYV,F3,0001335258-20-000081,lyv-20200331.htm,99
9,LYV,F4,0001335258-20-000150,lyv-20200630.htm,104
9,LYV,F5,0001335258-20-000163,lyv-20200930.htm,107
