sample_order,ticker,filing_position,accession,primary_document,candidate_passages
52,FANG,F1,0001539838-19-000117,q32019diamondback10-q.htm,94
52,FANG,F2,0001539838-20-000021,diamondback201910-k.htm,132
52,FANG,F3,0001539838-20-000054,q12020diamondback10-q.htm,89
52,FANG,F4,0001539838-20-000101,fang-20200630.htm,84
52,FANG,F5,0001539838-20-000111,fang-20200930.htm,84
53,NOV,F1,0001564590-19-038434,nov-10q_20190930.htm,61
53,NOV,F2,0001564590-20-004552,nov-10k_20191231.htm,92
53,NOV,F3,0001564590-20-019212,nov-10q_20200331.htm,62
53,NOV,F4,0001564590-20-033775,nov-10q_20200630.htm,63
53,NOV,F5,0001564590-20-047905,nov-10q_20200930.htm,63
54,FTI,F1,0001681459-19-000104,technipfmc2019930-10q.htm,91
54,FTI,F2,0001681459-20-000004,technipfmc20191231-10k.htm,123
54,FTI,F3,0001681459-20-000083,technipfmc2020331-10q.htm,91
54,FTI,F4,0001681459-20-000103,fti-20200630.htm,91
54,FTI,F5,0001681459-20-000123,fti-20200930.htm,91
55,APA,F1,0001733037-19-000016,apaq3201910q.htm,90
55,APA,F2,0001733037-20-000004,apa10-k2019.htm,133
55,APA,F3,0001733037-20-000008,apaq1202010q.htm,96
55,APA,F4,0001733037-20-000013,apaq2202010q.htm,92
55,APA,F5,0001733037-20-000018,apaq3202010q.htm,94
56,COP,F1,0001193125-19-279997,d824956d10q.htm,99
56,COP,F2,0001193125-20-039954,d875559d10k.htm,137
56,COP,F3,0001562762-20-000162,cop-20200331.htm,110
56,COP,F4,0001562762-20-000267,COP20202q10q.htm,104
56,COP,F5,0001562762-20-000367,COP20203q10q.htm,103
57,OXY,F1,0000797468-19-000016,oxyform10q93019.htm,90
57,OXY,F2,0000797468-20-000004,oxy10k12-31x2019.htm,122
57,OXY,F3,0000797468-20-000010,oxy-20200331.htm,90
57,OXY,F4,0000797468-20-000027,oxy-20200630.htm,89
57,OXY,F5,0000797468-20-000033,oxy-20200930.htm,91
58,KMI,F1,0001506307-19-000158,kmi-09302019x10q.htm,99
58,KMI,F2,0001506307-20-000022,kmi-2019x10k.htm,148
58,KMI,F3,0001506307-20-000041,kmi-03312020x10q.htm,96
58,KMI,F4,0001506307-20-000067,kmi-20200630.htm,91
58,KMI,F5,0001506307-20-000097,kmi-20200930.htm,92
59,HES,F1,0001564590-19-041724,hes-10q_20190930.htm,102
59,HES,F2,0001564590-20-005545,hes-10k_20191231.htm,134
59,HES,F3,0001564590-20-022922,hes-10q_20200331.htm,92
59,HES,F4,0001628280-20-011992,hes-20200630.htm,90
59,HES,F5,0001628280-20-015747,hes-20200930.htm,93
60,DVN,F1,0001564590-19-040774,dvn-10q_20190930.htm,97
60,DVN,F2,0001564590-20-005182,dvn-10k_20191231.htm,123
60,DVN,F3,0001564590-20-021639,dvn-10q_20200331.htm,99
60,DVN,F4,0001564590-20-036568,dvn-10q_20200630.htm,97
60,DVN,F5,0001564590-20-049203,dvn-10q_20200930.htm,98
61,BKR,F1,0001701605-19-000089,bkr-2019093010xq.htm,92
61,BKR,F2,0001701605-20-000019,fiscalyear2019form10-k.htm,106
61,BKR,F3,0001701605-20-000039,bkr-20200331.htm,87
61,BKR,F4,0001701605-20-000068,bkr-20200630.htm,87
61,BKR,F5,0001701605-20-000086,bkr-20200930.htm,87
62,PXD,F1,0001038357-19-000062,pxd-20190930.htm,84
62,PXD,F2,0001038357-20-000009,pxd-20191231.htm,128
62,PXD,F3,0001038357-20-000034,pxd-20200331.htm,84
62,PXD,F4,0001038357-20-000050,pxd-20200630.htm,113
62,PXD,F5,0001038357-20-000070,pxd-20200930.htm,120
