sample_order,ticker,filing_position,accession,primary_document,candidate_passages
127,IR,F1,0001140361-19-019437,form10q.htm,86
127,IR,F2,0001140361-20-004146,form10k.htm,100
127,IR,F3,0001140361-20-011736,form10q.htm,96
127,IR,F4,0001140361-20-017479,form10q.htm,94
127,IR,F5,0001628280-20-015382,iri-20200930.htm,97
128,PNR,F1,0000077360-19-000035,pnr-2019093010q.htm,91
128,PNR,F2,0000077360-20-000006,a2019pnr-10k.htm,122
128,PNR,F3,0000077360-20-000018,a2020q110-q.htm,98
128,PNR,F4,0000077360-20-000031,a2020q210-q1.htm,97
128,PNR,F5,0000077360-20-000040,pnr-20200930.htm,99
129,XYL,F1,0001524472-19-000055,xyl0930201910-q.htm,94
129,XYL,F2,0001524472-20-000006,xyl1231201910kv1.htm,112
129,XYL,F3,0001524472-20-000020,xyl-20200331.htm,92
129,XYL,F4,0001524472-20-000045,xyl-20200630.htm,92
129,XYL,F5,0001524472-20-000055,xyl-20200930.htm,94
130,CPRT,F1,0000900075-19-000028,cprt10312019-10q.htm,102
130,CPRT,F2,0000900075-20-000006,cprt01312020-10q.htm,101
130,CPRT,F3,0000900075-20-000014,cprt-20200430.htm,101
130,CPRT,F4,0000900075-20-000021,cprt-20200731.htm,123
130,CPRT,F5,0000900075-20-000029,cprt-20201031.htm,102
131,IEX,F1,0000832101-19-000031,iex-20190930x10q.htm,83
131,IEX,F2,0000832101-20-000007,iex-20191231x10k.htm,87
131,IEX,F3,0000832101-20-000014,iex-20200331x10q.htm,87
131,IEX,F4,0000832101-20-000027,iex-20200630.htm,88
131,IEX,F5,0000832101-20-000039,iex-20200930.htm,88
132,UNP,F1,0000100885-19-000256,unp-20190930x10q.htm,126
132,UNP,F2,0000100885-20-000065,unp-20191231x10k.htm,148
132,UNP,F3,0000100885-20-000143,unp-20200331x10q.htm,125
132,UNP,F4,0000100885-20-000221,unp-20200630x10q.htm,125
132,UNP,F5,0000100885-20-000304,unp-20200930x10q.htm,123
133,LMT,F1,0000936468-19-000069,lmtq3201910q.htm,86
133,LMT,F2,0000936468-20-000016,lmtq4201910k.htm,100
133,LMT,F3,0000936468-20-000056,lmtq1202010q.htm,86
133,LMT,F4,0000936468-20-000115,lmt-20200628.htm,88
133,LMT,F5,0000936468-20-000125,lmt-20200927.htm,88
134,URI,F1,0001067701-19-000041,uri-9302019x10q.htm,93
134,URI,F2,0001067701-20-000008,uri-2019123110k.htm,121
134,URI,F3,0001067701-20-000019,uri-3312020x10q.htm,86
134,URI,F4,0001067701-20-000034,uri-20200630.htm,85
134,URI,F5,0001067701-20-000046,uri-20200930.htm,85
135,INFO,F1,0001598014-19-000126,q3201910q.htm,85
135,INFO,F2,0001598014-20-000008,q41910k.htm,112
135,INFO,F3,0001598014-20-000065,q1202010q.htm,83
135,INFO,F4,0001598014-20-000160,q2202010q.htm,84
135,INFO,F5,0001598014-20-000200,info-20200831.htm,84
136,FBHS,F1,0001564590-19-039139,fbhs-10q_20190930.htm,96
136,FBHS,F2,0001564590-20-006812,fbhs-10k_20191231.htm,119
136,FBHS,F3,0001564590-20-020502,fbhs-10q_20200331.htm,92
136,FBHS,F4,0001564590-20-034912,fbhs-10q_20200630.htm,97
136,FBHS,F5,0001564590-20-048855,fbhs-10q_20200930.htm,97
137,NLSN,F1,0001564590-19-041345,nlsnnv-10q_20190930.htm,90
137,NLSN,F2,0001564590-20-007004,nlsnnv-10k_20191231.htm,123
137,NLSN,F3,0001564590-20-020170,nlsnnv-10q_20200331.htm,86
137,NLSN,F4,0001564590-20-036796,nlsnnv-10q_20200630.htm,86
137,NLSN,F5,0001564590-20-049632,nlsnnv-10q_20200930.htm,85
138,EMR,F1,0000032604-19-000048,emr-09302019x10xk.htm,103
138,EMR,F2,0000032604-20-000007,emr-12312019x10q.htm,62
138,EMR,F3,0000032604-20-000021,emr-20200331.htm,65
138,EMR,F4,0000032604-20-000033,emr-20200630.htm,67
138,EMR,F5,0000032604-20-000041,emr-20200930.htm,101
139,FLS,F1,0000030625-19-000072,a09302019financialstat.htm,83
139,FLS,F2,0000030625-20-000007,fls12312019financialst.htm,99
139,FLS,F3,0000030625-20-000066,fls-20200331.htm,87
139,FLS,F4,0000030625-20-000100,fls-20200630.htm,87
139,FLS,F5,0000030625-20-000116,fls-20200930.htm,89
140,ALK,F1,0000766421-19-000054,alk10-q32019.htm,85
140,ALK,F2,0000766421-20-000013,alk-20191231.htm,123
140,ALK,F3,0000766421-20-000046,alk-20200331.htm,83
140,ALK,F4,0000766421-20-000071,alk-20200630.htm,105
140,ALK,F5,0000766421-20-000089,alk-20200930.htm,125
141,ODFL,F1,0001564590-19-039710,odfl-10q_20190930.htm,65
141,ODFL,F2,0001564590-20-006626,odfl-10k_20191231.htm,107
141,ODFL,F3,0001564590-20-021054,odfl-10q_20200331.htm,63
141,ODFL,F4,0001564590-20-037340,odfl-10q_20200630.htm,68
141,ODFL,F5,0001564590-20-051868,odfl-10q_20200930.htm,66
