sample_order,ticker,filing_position,accession,primary_document,candidate_passages
171,JNPR,F1,0001043604-19-000113,jnpr-10q20190930.htm,130
171,JNPR,F2,0001043604-20-000021,jnpr-10k20191231.htm,142
171,JNPR,F3,0001043604-20-000051,jnpr-10q20200331.htm,127
171,JNPR,F4,0001043604-20-000072,jnpr-10q20200630.htm,130
171,JNPR,F5,0001043604-20-000088,jnpr-20200930.htm,115
172,ROP,F1,0000882835-19-000050,a2019q310q.htm,81
172,ROP,F2,0000882835-20-000006,a201910-kdoc.htm,99
172,ROP,F3,0000882835-20-000012,rop-20200331.htm,63
172,ROP,F4,0000882835-20-000025,rop-20200630.htm,74
172,ROP,F5,0000882835-20-000033,rop-20200930.htm,71
173,VRSN,F1,0001014473-19-000037,vrsn-2019930x10q.htm,81
173,VRSN,F2,0001014473-20-000006,vrsn-20191231x10k.htm,116
173,VRSN,F3,0001014473-20-000019,vrsn-2020331x10q.htm,75
173,VRSN,F4,0001014473-20-000029,vrsn-20200630.htm,74
173,VRSN,F5,0001014473-20-000034,vrsn-20200930.htm,75
174,AVGO,F1,0001730168-19-000118,avgo-08042019x10q.htm,100
174,AVGO,F2,0001730168-19-000144,avgo-11032019x10k.htm,122
174,AVGO,F3,0001730168-20-000045,avgo-02022020x10q.htm,117
174,AVGO,F4,0001730168-20-000109,avgo-20200503.htm,116
174,AVGO,F5,0001730168-20-000164,avgo-20200802.htm,116
175,ACN,F1,0001467373-19-000339,acn831201910k.htm,105
175,ACN,F2,0001467373-19-000395,acn1130201910-q.htm,85
175,ACN,F3,0001467373-20-000158,acn229202010-q.htm,84
175,ACN,F4,0001467373-20-000251,acn531202010-q.htm,88
175,ACN,F5,0001467373-20-000376,acn-20200831.htm,105
176,LRCX,F1,0000707549-19-000163,lrcx10q1q2020document.htm,108
176,LRCX,F2,0000707549-20-000020,lrcx10q2q2020document.htm,112
176,LRCX,F3,0000707549-20-000081,lrcx10q3q2020document.htm,117
176,LRCX,F4,0000707549-20-000138,lrcx10k2020document.htm,124
176,LRCX,F5,0000707549-20-000173,lrcx-20200927.htm,112
177,SNPS,F1,0000883241-19-000015,a073119snps10-q.htm,102
177,SNPS,F2,0000883241-19-000019,snps10311910-k.htm,111
177,SNPS,F3,0000883241-20-000006,a013120snps10-q.htm,99
177,SNPS,F4,0000883241-20-000009,a043020snps10-q.htm,101
177,SNPS,F5,0000883241-20-000012,a073120snps10-q.htm,104
178,WDC,F1,0000106040-19-000075,wdc-2020q110xqdoc.htm,111
178,WDC,F2,0000106040-20-000011,wdc-2020q210xqdoc.htm,112
178,WDC,F3,0000106040-20-000024,wdc-20200403.htm,107
178,WDC,F4,0000106040-20-000049,wdc-20200703.htm,123
178,WDC,F5,0000106040-20-000061,wdc-20201002.htm,93
179,HPQ,F1,0000047217-19-000048,hp-073119x10qxq319.htm,107
179,HPQ,F2,0000047217-19-000071,hp-103119x10k.htm,133
179,HPQ,F3,0000047217-20-000006,hp-13120x10q.htm,98
179,HPQ,F4,0000047217-20-000020,hp-43020x10q.htm,101
179,HPQ,F5,0000047217-20-000034,hpq-20200731.htm,102
180,MSFT,F1,0001564590-19-037549,msft-10q_20190930.htm,117
180,MSFT,F2,0001564590-20-002450,msft-10q_20191231.htm,116
180,MSFT,F3,0001564590-20-019706,msft-10q_20200331.htm,119
180,MSFT,F4,0001564590-20-034944,msft-10k_20200630.htm,130
180,MSFT,F5,0001564590-20-047996,msft-10q_20200930.htm,119
181,QRVO,F1,0001604778-19-000084,qorvo2019092810-q.htm,82
181,QRVO,F2,0001604778-20-000008,qorvo2019122810-q.htm,81
181,QRVO,F3,0001604778-20-000030,qorvo2020032810-k.htm,116
181,QRVO,F4,0001604778-20-000057,qorvo2020062710-q.htm,80
181,QRVO,F5,0001604778-20-000086,qorvo2020100310-q.htm,90
182,ZBRA,F1,0000877212-19-000034,zbra-20190928x10q.htm,86
182,ZBRA,F2,0000877212-20-000006,a10k12312019zebra.htm,120
182,ZBRA,F3,0000877212-20-000022,zbra-20200328x10q.htm,92
182,ZBRA,F4,0000877212-20-000146,zbra-20200627.htm,91
182,ZBRA,F5,0000877212-20-000169,zbra-20200926.htm,89
183,CTSH,F1,0001058290-19-000036,ctsh2019930-10q.htm,81
183,CTSH,F2,0001058290-20-000008,ctsh20191231-10k.htm,97
183,CTSH,F3,0001058290-20-000033,ctsh-20200331.htm,98
183,CTSH,F4,0001058290-20-000048,ctsh-20200630.htm,94
183,CTSH,F5,0001058290-20-000137,ctsh-20200930.htm,98
184,WU,F1,0001558370-19-009577,wu-20190930x10q0d6583.htm,84
184,WU,F2,0001558370-20-001090,wu-20191231x10kf6082f.htm,117
184,WU,F3,0001558370-20-005200,wu-20200505x10q.htm,84
184,WU,F4,0001558370-20-009217,wu-20200630x10q.htm,83
184,WU,F5,0001558370-20-012046,wu-20200930x10q.htm,83
